Actual - Fictional - Фактический -Вымышленный
Asleep - Awake - Спящий - Бодрствующий 
Beautiful - Ugly - Красивый - Уродливый 
Best - Worst - Лучше всего - Хуже всего 
Big - Little - Большой - Маленький 
Black - White - Черный - Белый 
Brave - Cowardly - Храбрый - Трусливый 
Bright - Dim - Яркий - Тусклый 
Cheap - Expensive - Дешевый - Дорогой 
Cheerful - Sad - Веселый - Грустный 
Clean - Dirty - Чистый - Грязный 
Clear - Blurry - Ясный - Мутный
Clever - Dumb - Умный - Глупый, немой 
Common - Rare - Обычный - Редкий 
Crazy - Sane - Сумасшедший - Нормальный 
Curved - Straight - Изогнутый - Прямой 
Dead - Alive - Мертвый - Живой 
Deep - Shallow - Глубокий - Поверхностный 
Dense - Thin - Плотный - Тонкий 
Different - Same - Различный - Такой же
Drink - Sober - Пьяный - Трезвый 
Empty - Full - Пустой - Полный 
Even - Odd - Чётный - Нечетный 
Exact - Approximate - Точный - Приблизительный 
Fast -  Slow - Быстрый - Медленный 
Fat - Thin - Жирный - Худой 
Final - Preliminary - Конечный - Предварительный 
First - Last - Первый - Последний 
Foreign - Domestic - Иностранный - Внутренний 
Fresh - Rotten - Свежий - Гнилой 
General - Particular - Общий - Частный 
Generous - Greedy - Щедрый - Жадный 
Gentle - Rough - Нежный - Грубый 
Gloomy - Cheerful  - Мрачный - Веселый  
Good - Bad - Хороший - Плохой 
Guilty - Innocent - Виновный - Невинный 
Hot - Cold - Горячий - Холодный 
Hard -Soft - Жесткий - Мягкий 
Hard - Easy - Трудный - Простой 
Hardworking - Lazy - Трудолюбивый - Ленивый 
Heavy - Light - Тяжёлый   - Лёгкий 
High - Low - Высокий - Низкий 
Honorable-Infamous - Благородный -позорный
Absence - Presence - Отсутствие - Присутствие 
Attraction - Repulsion - Влечение - Отвращение 
Beginning - End - Начало - Конец 
Birth - Death - Рождение - Смерть 
Bliss - Misery - Счастье - Страдание 
Center - Periphery - Центр - Периферия 
Change - Stability - Изменение - Стабильность 
Chief - Subordinate - Руководитель-Подчиненный 
Child - Adult - Ребенок - Взрослый 
Complaint - Praise - Жалоба - Похвала 
Copy - Original - Копия - Оригинал 
Delight - Disgust - Восхищение - Отвращение 
