irregularVerb	pastSimple	pastParticiple	translation

do	did	done	делать,сделать
outdo	outdid	outdone	превосходить
redo	redid	redone	повторять сделанное
undo	undid	undone	уничтожать сделанное 
go	went	gone	ходить,ездить,пойти,поехать
undergo	underwent	undergone	проходить;подвергаться

cost	cost	cost	стоить
put	put	put	ставить	поставить,класть,положить
cut	cut	cut	резать,разрезать,порезаться
shut	shut	shut	хлопнуть,захлопнуть,закрыть
hurt	hurt	hurt	удариться,причинять боль
hit	hit	hit	ударить,удариться
mishit	mishit	mishit	промахнуться
let	let	let	позволить,позволять,давать,дать
set	set	set	ставить,устанавливать,установить
reset	reset	reset	возвращать
upset	reset	reset	опрокинуть(ся)

cast	cast	cast	кинуть,лить металл
recast	recast	recast	видоизменять,преобразовывать
	
beset	beset	beset	осаждать
broadcast	broadcast	broadcast	распространять,разбрасывать
burst	burst	burst	разразиться,взорваться
bust	bust	busted	разжаловать
fit	fit	fit	подходить по размеру

input	input,inputted	input,inputted	входить
output	output,outputted	output,outputted	выходить
inset	inset	inset	вставлять,вкладывать
	
miscast	miscast	miscast	неправильно распределять роли
outbid	outbid	outbid	перебивать цену
overbid	overbid	overbid	повелевать
shed	shed	shed	проливать
slit	slit	slit	раздирать(ся),разрезать (вдоль)
split	split	split	расщепить(ся)
spread	spread	spread	распространиться	
sublet	sublet	sublet	передавать в субаренду
thrust	thrust	thrust	толкнуть сунуть	

underbid	underbid	underbid	снижать цену	
undercut	undercut	undercut	сбивать цены	


	
have	had	had	иметь
hang	hung	hung	висеть,вешать,повесить
overhang	overhung	overhung	нависать	
	
get	got	got	получать,получить
tell	told	told	сказать,рассказать
foretell	foretold	foretold	предсказывать
retell	retold	retold	пересказывать
sell	sold	sold	продавать,продать
outsell	outsold	outsold	продавать лучше или дороже
resell	resold	resold	перепродавать
undersell	undersold	undersold	продавать дешевле

shoot	shot	shot	стрелять,застрелить
overshoot	overshot	overshot	расстрелять
lose	lost	lost	терять,потерять
	
hear	heard	heard	слышать,услышать	
mishear	misheard	misheard	ослышаться
overhear	overheard	overheard	подслуш(ив)ать
rehear	reheard	reheard	слушать вторично	

stand	stood	stood	стоять
withstand	withstood	withstood	противиться	
understand	understood	understood	понимать,понять
misunderstand	misunderstood	misunderstood	неправильно понимать
	
read	read	read	читать,прочитать
misread	misread	misread	неправильно истолковывать	
mean	meant	meant	значить,иметь в виду
meet	met	met	встречать(ся),встретить(ся)	
feel	felt	felt	чувствовать,почувствовать	
leave	left	left	оставлять,оставить	
keep	kept	kept	держать,хранить	
sleep	slept	slept	спать
oversleep	overslept	overslept	прос(ы)пать	
feed	fed	fed	кормить,покормить
	
hold	held	held	держать
uphold	upheld	upheld	поддерживать
withhold	withheld	withheld	удерживать
	
build	built	built	строить,построить	
send	sent	sent	посылать,послать	
spend	spent	spent	тратить,истратить	
misspend	misspent	misspent	экономить	

make	made	made	делать,сделать
remake	remade	remade	переделывать
lay	laid	laid	класть,положить
inlay	inlaid	inlaid	вкладывать,выстилать
mislay	mislaid	mislaid	класть не на место
overlay	overlaid	overlaid	покры(ва)ть
waylay	waylaid	waylaid	подстерегать	
pay	paid	paid	платить,заплатить	
overpay	overpaid	overpaid	переплачивать
prepay	prepaid	prepaid	платить вперед
repay	repaid	repaid	отдавать долг
underpay	underpaid	underpaid	оплачивать слишком низко
say	said	said	сказать,говорить
unsay	unsaid	unsaid	брать назад свои слова
gainsay	gainsaid	gainsaid	отрицать,противоречить	

bring	brought	brought	приносить,принести	
buy	bought	bought	покупать,купить	
think	thought	thought	думать,подумать
seek	sought	sought	искать	
win	won	won	выигрывать,выиграть
	
catch	caught	caught	ловить,поймать
teach	taught	taught	учить,преподавать	
fight	fought	fought	драться,подраться,бороться
outfight	outfought	outfought	побеждать в бою	
	
find	found	found	находить,найти	
grind	ground	ground	молоть,намолоть
	
dig	dug	dug	копать,выкопать
stick	stuck	stuck	застревать,застрять,прилипать,прилипнуть,уколоть	
sting	stung	stung	жалить,ужалить	
sit	sat	sat	сидеть

abide	abode,abided	abode,abided	пребывать,держаться	
awake	awoke	awaked,awoke	будить,проснуться
backbite	backbitten	backbitten	клеветать	
backslide	backslid	backslid	отпадать
begird	begirt	begirt	опоясывать
behold	beheld	beheld	зреть
bend	bent	bent,bended	наклоняться (в стороны)	
bereave	bereft,bereaved	bereft,bereaved	лишать	
beseech	besought,beseeched	besought,beseeched	умолять,упрашивать	
bespeak	bespoke	bespoke,bespoken	заказывать	
bespit	bespat	bespat	заплевывать	
bet	bet,betted	bet,betted	держать пари	
bind	bound	bound	связать
rebind	rebound	rebound	перевязывать
bleed	bled	bled	кровоточить	
bless	blessed	blessed,blest	благословлять	
breed	bred	bred	выращивать	
burn	burnt,burned	burnt,burned	жечь,гореть	
cleave	clove,cleft,cleaved	cloven,cleft,cleaved	рассечь	
cling	clung	clung	цепляться,льнуть
creep	crept	crept	ползти	
crow	crowed,crew	crowed	петь (о петухе)	
dare	durst,dared	dared	сметь	
deal	dealt	dealt	иметь дело	
dive	dived,dove	dived	нырять,погружаться	
